Monkey,Session,UnitName,Sess_Unit,BrainArea,SNR,BestDir,NullDir,PrefDirFit,DepthMod,SelDir,DI,SI,signiffl
aristotle,pa20dir4A,unit001c,pa20dir4A_unit001c,FEF,3.00171235727581,130,310,139.475273857527,0.0425335190996015,0.021317367995524,0.081596453870061,0.0223552832150199,1
aristotle,pa20dir4A,unit001f,pa20dir4A_unit001f,FEF,1.68708862816292,40,220,15.2951877744953,0.104700241272944,0.0326889513084693,0.105832721936904,0.0322729742908986,1
aristotle,pa20dir4A,unit001g,pa20dir4A_unit001g,FEF,0.702418049509025,40,220,14.0938232759615,0.0753688976312108,0.0271963743675604,0.0898648648648649,0.0267576685849602,1
aristotle,pa20dir4A,unit002a,pa20dir4A_unit002a,FEF,1.23944623807148,310,130,321.313582891372,0.0743799343511832,0.0383938555181481,0.138461138323662,0.0373986791275436,1
aristotle,pa20dir4A,unit003a,pa20dir4A_unit003a,FEF,1.15073071617465,40,220,341.053175383842,0.047929551294957,0.0251821739845064,0.0500120221207021,0.0243194400258828,1
aristotle,pa20dir4A,unit004a,pa20dir4A_unit004a,FEF,1.21613964309165,310,130,303.539834709915,0.117488975059628,0.061769705302131,0.210273170799487,0.0607549462834993,1
aristotle,pa20dir4A,unit005b,pa20dir4A_unit005b,FEF,2.33132062065825,220,40,232.8537372084,0.19852732151726,0.109053334816677,0.327927588157647,0.108757071571111,1
aristotle,pa20dir4A,unit005c,pa20dir4A_unit005c,FEF,0.995878390355792,220,40,242.811759188657,0.0948090948090948,0.0526113941255468,0.17319749216301,0.0521892889727071,1
aristotle,pa20dir4A,unit006a,pa20dir4A_unit006a,FEF,2.55635330237219,40,220,353.975101683596,0.0256037729697671,0.00865339601802822,0.0234389305987914,0.00794492379140448,0
aristotle,pa20dir4A,unit006b,pa20dir4A_unit006b,FEF,1.3840972371637,220,40,224.925594761678,0.0707273665828815,0.0217550156704728,0.0793991416309013,0.0216710419444463,1
aristotle,pa20dir4A,unit007a,pa20dir4A_unit007a,FEF,1.18887895226901,130,310,146.702803129607,0.147429213255505,0.0775288319563425,0.256973086535275,0.0785904249280251,1
aristotle,pa20dir4A,unit008a,pa20dir4A_unit008a,FEF,1.15239518498694,310,130,227.768729986647,0.0537659737353513,0.0216849436537807,0.011337148981052,0.0215436189191197,1
aristotle,pa20dir4A,unit009b,pa20dir4A_unit009b,FEF,1.22482782015098,130,310,178.6786666506,0.216942054585201,0.137469157768212,0.302117338081104,0.138127382385125,1
aristotle,pa20dir4A,unit010a,pa20dir4A_unit010a,FEF,1.05886786752188,130,310,164.409760769753,0.0536196760370566,0.0327608703467225,0.101781842645032,0.0336441520313202,1
aristotle,pa20dir4A,unit011d,pa20dir4A_unit011d,FEF,2.17230243186581,40,220,30.9168464478434,0.132510511325105,0.0647229376098579,0.234011976047904,0.0644958332593254,1
aristotle,pa20dir4A,unit011e,pa20dir4A_unit011e,FEF,1.03560409800807,40,220,85.9056354210145,0.0309692819900748,0.0207989998944496,0.0561784060443578,0.0215597065624969,1
aristotle,pa20dir4A,unit012c,pa20dir4A_unit012c,FEF,1.09570121898626,310,130,234.366459315123,0.0452105451509006,0.0213990269825134,0.0206379276226344,0.0211403053101576,1
aristotle,pa20dir4A,unit013a,pa20dir4A_unit013a,FEF,1.14350530112954,130,310,83.6858646098298,0.0834655642219556,0.0452483347637214,0.115551953207065,0.0459836655363386,1
aristotle,pa20dir4A,unit014a,pa20dir4A_unit014a,FEF,1.12291094685082,220,40,186.675397322588,0.0216599578301706,0.0129670082740916,0.0424015009380863,0.013562859007111,0
aristotle,pa20dir4A,unit015a,pa20dir4A_unit015a,FEF,3.18655315647662,220,40,192.02871078933,0.11623178583531,0.0642232654111167,0.208257437765635,0.0646886059563236,1
aristotle,pa20dir4A,unit015b,pa20dir4A_unit015b,FEF,1.10152051913127,220,40,183.444092278504,0.0872740843418457,0.054660732540963,0.160537412964597,0.0552651163030278,1
aristotle,pa20dir4A,unit016a,pa20dir4A_unit016a,FEF,1.09332679916323,130,310,160.260758065651,0.0760380434284762,0.0437116793924113,0.141329656312529,0.0446288772522354,1
aristotle,pa20dir4A,unit017a,pa20dir4A_unit017a,FEF,1.03638268988614,40,220,11.4621197558262,0.118337404456228,0.068612753937074,0.20982332155477,0.068101656485453,1
aristotle,pa20dir4A,unit018a,pa20dir4A_unit018a,FEF,1.04981949221507,310,130,306.71032761063,0.0570239444808257,0.0285417847461348,0.10789527480162,0.0275326561318571,1
aristotle,pa20dir4A,unit019a,pa20dir4A_unit019a,FEF,2.66709551588902,310,130,300.127339970085,0.09024441678061,0.0465018602747921,0.165548963868292,0.0455083765629994,1
aristotle,pa20dir4A,unit019b,pa20dir4A_unit019b,FEF,1.04534283192538,310,130,340.494378510448,0.1081792343591,0.0614678061018689,0.187106369045448,0.060583656554993,1
aristotle,pa20dir4A,unit020a,pa20dir4A_unit020a,FEF,2.81497363605762,130,310,135.799988531221,0.138221409310687,0.0721484150413298,0.242872622461732,0.0732857654582615,1
aristotle,pa20dir4A,unit020b,pa20dir4A_unit020b,FEF,1.0185963955144,130,310,187.284620048817,0.053207107104834,0.0289416375077148,0.0599289223955334,0.0295127101009344,1
aristotle,pa20dir4A,unit021c,pa20dir4A_unit021c,FEF,0.942114128065323,310,130,264.020180471362,0.0387524608848824,0.0220703888855175,0.0590907347017071,0.0213526115694446,1
aristotle,pa20dir4A,unit022a,pa20dir4A_unit022a,FEF,1.04400472951729,40,220,342.751694700366,0.0703773994739152,0.0348052640803653,0.0711088504577823,0.0339690257358762,1
aristotle,pa20dir4A,unit023a,pa20dir4A_unit023a,FEF,1.26699598979787,40,220,356.334627001479,0.115837324204192,0.0577505676379981,0.149471791413801,0.057063277426218,1
aristotle,pa20dir4A,unit024a,pa20dir4A_unit024a,FEF,1.01515582487148,40,220,352.880751710639,0.183097959605799,0.0906703897718096,0.209595038307187,0.0899739998619452,1
aristotle,pa20dir4A,unit033a,pa20dir4A_unit033a,MT,1.08066504807825,40,220,89.497833105829,0.065378421900161,0.0396193466671235,0.097037484885127,0.0404154932635503,1
aristotle,pa20dir4A,unit034a,pa20dir4A_unit034a,MT,1.08438317216505,130,310,118.146193013586,0.0395421415882157,0.0200816658800596,0.0760760723520127,0.0211157080305935,1
aristotle,pa20dir4A,unit035d,pa20dir4A_unit035d,MT,0.888171274217451,220,40,185.627526016674,0.0206218274111675,0.011662770505974,0.0376126826235622,0.0122750626868719,0
aristotle,pa20dir4A,unit036b,pa20dir4A_unit036b,MT,1.02675788203113,130,310,118.237104067701,0.0081100858657719,0.00235299914922177,0.00912357264516894,0.00338832980016895,0
aristotle,pa20dir4A,unit037a,pa20dir4A_unit037a,MT,1.11069078267739,220,40,198.749202205792,0.0949570815450644,0.0523057700893668,0.1734443900049,0.0526419515469299,1
aristotle,pa20dir4A,unit038c,pa20dir4A_unit038c,MT,1.03180296701707,220,40,190.37044836175,0.196380090497738,0.104071273578056,0.291099344427635,0.104499116246932,1
aristotle,pa20dir4A,unit039b,pa20dir4A_unit039b,MT,0.85226939691608,220,40,170.435701959487,0.0821086261980831,0.0521525620576454,0.12577502214349,0.0529494526086149,1
aristotle,pa20dir4A,unit040a,pa20dir4A_unit040a,MT,1.15100924584347,220,40,200.578349804807,0.0190305961518243,0.0100404234655439,0.037350392075939,0.010428114739168,0
aristotle,pa20dir4A,unit041b,pa20dir4A_unit041b,MT,0.942680011754525,220,40,288.389453540023,0.0228952424105326,0.00414099634805543,0.00597779675491028,0.00321358647518479,0
