Monkey,Session,UnitName,Sess_Unit,BrainArea,SNR,BestDir,NullDir,PrefDirFit,DepthMod,SelDir,DI,SI,signiffl
aristotle,pa38dir4A,unit001a,pa38dir4A_unit001a,FEF,1.2854839789836,205,25,169.836970174391,0.0100721250257752,0.0017802234296283,0.00576092174747966,0.0035393746143318,0
aristotle,pa38dir4A,unit002a,pa38dir4A_unit002a,FEF,1.26718986421332,295,115,302.892076879502,0.0235250116802561,0.0119092111294652,0.0459686112440703,0.0127063570329227,0
aristotle,pa38dir4A,unit003a,pa38dir4A_unit003a,FEF,1.93814023517665,25,205,27.606423437533,0.013615719540575,0.00677134114738663,0.0268656440070728,0.0114644277352647,1
aristotle,pa38dir4A,unit003b,pa38dir4A_unit003b,FEF,1.08416825808605,205,25,227.225936307493,0.0286488620029508,0.00501921560075242,0.0180180180180179,0.00131016804329292,0
aristotle,pa38dir4A,unit005a,pa38dir4A_unit005a,FEF,1.12679477192737,205,25,169.899943717938,0.0610966030530909,0.0376197250859713,0.115157475534834,0.0344294335653785,1
aristotle,pa38dir4A,unit006a,pa38dir4A_unit006a,FEF,1.19439982775087,205,25,147.806076054675,0.0414487941186372,0.0221702216487973,0.0464424008935205,0.0203919934317456,1
aristotle,pa38dir4A,unit007a,pa38dir4A_unit007a,FEF,1.20290307348046,115,295,160.971982818158,0.0342389984620781,0.0235929796702804,0.063453974668928,0.0209600418866224,0
aristotle,pa38dir4A,unit008b,pa38dir4A_unit008b,FEF,1.08380091393783,115,295,123.34426103728,0.0480844132851781,0.023629937843455,0.0874833110814419,0.0236881556452627,1
aristotle,pa38dir4A,unit009g,pa38dir4A_unit009g,FEF,1.04835850745376,295,115,343.064327657425,0.100032971171728,0.0560681272616034,0.136830800053941,0.059255059778246,1
aristotle,pa38dir4A,unit010a,pa38dir4A_unit010a,FEF,1.101238671568,115,295,127.468869214855,0.0211979092881588,0.0108834074683354,0.0415157710280374,0.0112827996191407,0
aristotle,pa38dir4A,unit011a,pa38dir4A_unit011a,FEF,1.21971851900242,205,25,223.728987462791,0.138082602568848,0.0736667241976346,0.242658313653459,0.0698886089913462,1
aristotle,pa38dir4A,unit012a,pa38dir4A_unit012a,FEF,1.02602503480326,205,25,221.367886007466,0.0831309858882785,0.0424143715760912,0.146089009928296,0.0381671681781467,1
aristotle,pa38dir4A,unit013a,pa38dir4A_unit013a,FEF,0.973348959509288,205,25,202.656951217536,0.0693418926076663,0.0353279637658071,0.12969078100657,0.031143116452012,1
aristotle,pa38dir4A,unit014a,pa38dir4A_unit014a,FEF,1.15067979321426,295,115,322.042070858784,0.0910713015111958,0.0500769225302155,0.16693923006692,0.0515414213567986,1
aristotle,pa38dir4A,unit015a,pa38dir4A_unit015a,FEF,1.2326121799461,295,115,273.397366253169,0.0282255008995001,0.015067956195893,0.0549013827702352,0.0132884915781682,0
aristotle,pa38dir4A,unit016a,pa38dir4A_unit016a,FEF,1.00079696924913,25,205,89.8957993012068,0.0220812839761843,0.00555539280965323,0.0092488998284479,0.0089677369160108,0
aristotle,pa38dir4A,unit017a,pa38dir4A_unit017a,FEF,1.25962705524683,205,25,184.261655735795,0.033259423503326,0.0177647822121557,0.0643776824034336,0.0139897182378647,0
aristotle,pa38dir4A,unit018a,pa38dir4A_unit018a,FEF,1.19175321307949,205,25,227.354997942259,0.0540984998803301,0.0295120301771754,0.102644107522156,0.0252967780475223,1
aristotle,pa38dir4A,unit019a,pa38dir4A_unit019a,FEF,1.22299401542297,205,25,195.471649230142,0.0868619606368982,0.0455686959792803,0.159839913039182,0.0415444453120435,1
aristotle,pa38dir4A,unit020a,pa38dir4A_unit020a,FEF,1.12898620528453,25,205,0.0471677291768252,0.119360854516033,0.0651488225862194,0.204613598021949,0.0698015746190333,1
aristotle,pa38dir4A,unit021a,pa38dir4A_unit021a,FEF,1.29410173270592,115,295,68.1434571670545,0.0384137296268064,0.0240165897021002,0.0633323404202505,0.0279396849040514,0
aristotle,pa38dir4A,unit022a,pa38dir4A_unit022a,FEF,1.07700814080874,115,295,143.974279592662,0.0429794043523612,0.0178281228859339,0.0594025006604991,0.0165332088187157,0
aristotle,pa38dir4A,unit023a,pa38dir4A_unit023a,FEF,1.26788369173845,25,205,63.4883356292797,0.0174094013259558,0.011101308690051,0.0342230006981785,0.01530544839342,0
aristotle,pa38dir4A,unit024a,pa38dir4A_unit024a,FEF,1.29487090576968,295,115,325.677120856401,0.0468206920884515,0.0211132693217475,0.0688769281786478,0.0232131569459002,1
aristotle,pa38dir4A,unit033a,pa38dir4A_unit033a,MT,1.3542118836105,205,25,243.259794327022,0.00830205845558976,0.00316663444690279,0.00985883243947761,0.0025059971202129,0
aristotle,pa38dir4A,unit034a,pa38dir4A_unit034a,MT,1.3536694550582,205,25,213.094008753559,0.017251884711633,0.00865006323450768,0.0339186094828883,0.00415235612547261,0
