UnitName,BrainArea,SNR,BestDir,MeanFR_BestDir,VarFR_BestDir
unit001a,FEF,0.948905924676238,135,59.3165048543689,783.06397189377
unit002f,FEF,1.24158353821657,135,37.7165048543689,783.06397189377
unit004a,FEF,1.13739667297144,45,38.5864077669903,1256.07222998753
unit005a,FEF,1.15625135338674,225,41.9649122807018,976.052344074653
unit006a,FEF,1.0910030744472,45,48.4271844660194,1256.07222998753
unit007a,FEF,1.0434729562546,135,55.4718446601942,783.06397189377
unit008a,FEF,1.07226126533093,45,58.8970873786408,1256.07222998753
unit009a,FEF,0.982065625402842,315,58.3483365949119,383.773095085187
unit010a,FEF,1.05674663657561,225,42.635477582846,976.052344074653
unit011b,FEF,0.935895683751691,225,69.224171539961,976.052344074653
unit012a,FEF,0.941961025356853,135,73.5300970873786,783.06397189377
unit013a,FEF,1.12050278968118,225,50.82261208577,976.052344074653
unit014a,FEF,1.08281147514873,225,85.9181286549708,976.052344074653
unit015b,FEF,0.977225080139045,45,61.7708737864078,1256.07222998753
unit016a,FEF,1.09504854457409,315,50.6849315068493,383.773095085187
unit017c,FEF,0.997948353825539,315,29.8317025440313,383.773095085187
unit018b,FEF,1.04936339213406,45,40.7844660194175,1256.07222998753
unit019a,FEF,0.948709470557313,135,52.4660194174757,783.06397189377
unit020c,FEF,1.02609953668148,225,53.4191033138402,976.052344074653
unit021b,FEF,1.06349098734179,135,38.3844660194175,783.06397189377
unit022b,FEF,0.99211326736086,315,61.5342465753425,383.773095085187
unit023c,FEF,0.988872325125567,135,45.5611650485437,783.06397189377
unit024b,FEF,0.901163934486478,315,48.0156555772994,383.773095085187
unit033a,MT,1.10974238763201,135,64.3184466019417,783.06397189377
unit034a,MT,0.975806201667591,225,96.2729044834308,976.052344074653
unit035a,MT,1.03300632196575,225,81.9493177387914,976.052344074653
unit036a,MT,0.964892949033661,225,118.230019493177,976.052344074653
unit037d,MT,0.917491137709222,135,64.1398058252427,783.06397189377
unit038b,MT,0.958461648616665,315,59.8904109589041,383.773095085187
unit039a,MT,1.0031209071726,225,84.5458089668616,976.052344074653
unit040a,MT,0.99406185702546,225,64.5769980506823,976.052344074653
unit041a,MT,0.673778460035365,225,93.2475633528265,976.052344074653
unit042a,MT,1.03510820109897,135,72.7300970873786,783.06397189377
unit043a,MT,0.98319082149984,135,64.9553398058252,783.06397189377
unit044a,MT,0.91356248384062,45,98.1592233009709,1256.07222998753
unit045e,MT,1.01028515143153,315,75.5616438356164,383.773095085187
unit046c,MT,0.985970921532051,135,64.1242718446602,783.06397189377
unit047a,MT,1.00181802427373,225,74.962962962963,976.052344074653
unit048a,MT,1.07753039910871,225,45.9259259259259,976.052344074653
unit049a,MT,0.952120758233878,315,59.0293542074364,383.773095085187
unit050a,MT,1.02504389659377,135,68.7300970873786,783.06397189377
unit051a,MT,1.10659662265084,135,43.4330097087379,783.06397189377
unit052a,MT,1.00581695659484,135,42.578640776699,783.06397189377
unit053a,MT,0.988459744049192,135,60.1087378640777,783.06397189377
unit054a,MT,1.05114721082256,135,62.547572815534,783.06397189377
unit055b,MT,0.999771398195837,225,71.0721247563353,976.052344074653
unit056a,MT,0.837622311396223,45,96.6912621359223,1256.07222998753
