Monkey,Session,UnitName,Sess_Unit,BrainArea,SNR,BestDir,NullDir,PrefDirFit,DepthMod,SelDir,DI,SI,signiffl
aristotle,pa22dir4A,unit001a,pa22dir4A_unit001a,FEF,1.03141593483214,340,520,0.697034739615206,0.0550691162190769,0.0183229182693939,0.064297335065749,0.019431254497972,1
aristotle,pa22dir4A,unit002a,pa22dir4A_unit002a,FEF,1.14646740748749,340,520,359.28663582876,0.134959343087525,0.0674095896499539,0.215335559893091,0.0685397404333997,1
aristotle,pa22dir4A,unit003a,pa22dir4A_unit003a,FEF,1.00658746980196,340,520,357.902256528548,0.0753501468483602,0.039005507872495,0.140140673378242,0.0400762396026202,1
aristotle,pa22dir4A,unit004a,pa22dir4A_unit004a,FEF,1.13934080276132,340,520,15.3750820620487,0.15892032899846,0.096719652773833,0.274255831090303,0.0976301671923805,1
aristotle,pa22dir4A,unit005a,pa22dir4A_unit005a,FEF,2.31765814292918,340,520,336.03037535974,0.0287972001536502,0.0145931386614982,0.0559822677381885,0.01574688376371,0
aristotle,pa22dir4A,unit005b,pa22dir4A_unit005b,FEF,1.09635974458015,340,520,356.162864960446,0.1663235692303,0.0896716556637876,0.285209994238671,0.0907924895839578,1
aristotle,pa22dir4A,unit006a,pa22dir4A_unit006a,FEF,1.00317543598942,520,340,208.613207514669,0.146167481459959,0.0654669092026857,0.15193851742459,0.0646831525049715,1
aristotle,pa22dir4A,unit007a,pa22dir4A_unit007a,FEF,3.22657022150199,340,520,317.741888498733,0.0898862058730998,0.0195050159180974,0.06555243355633,0.0206374965506788,1
aristotle,pa22dir4A,unit007b,pa22dir4A_unit007b,FEF,1.02588229257894,520,340,182.448305981784,0.2179210763702,0.102933926701656,0.2959261477739,0.10179860434701,1
aristotle,pa22dir4A,unit008a,pa22dir4A_unit008a,FEF,1.34074659634396,520,340,177.106440796442,0.162622115340047,0.0894996570365323,0.279750596852328,0.088367239698383,1
aristotle,pa22dir4A,unit009a,pa22dir4A_unit009a,FEF,1.13371647501067,610,430,224.532682302093,0.176846261031119,0.100071215670969,0.300542673902319,0.0996048699952288,1
aristotle,pa22dir4A,unit010a,pa22dir4A_unit010a,FEF,3.16839420426156,610,430,225.285673676317,0.109542356377799,0.0612293533080757,0.197455024133392,0.0607705822268134,1
aristotle,pa22dir4A,unit010b,pa22dir4A_unit010b,FEF,1.11383148772873,520,340,193.746838223041,0.0382549325052712,0.019765072818236,0.0629729878417781,0.0188148738269538,1
aristotle,pa22dir4A,unit011a,pa22dir4A_unit011a,FEF,1.13114432101453,340,520,33.5106767626902,0.0109479262742506,0.00503315081813525,0.0118551509821977,0.00579027840893311,0
aristotle,pa22dir4A,unit012a,pa22dir4A_unit012a,FEF,2.65011365631222,340,520,294.10505996384,0.105225032188107,0.0717526057105026,0.181021525043734,0.0725481764045142,1
aristotle,pa22dir4A,unit012b,pa22dir4A_unit012b,FEF,1.06451520578579,340,520,352.738285633926,0.0541021500609454,0.0280253418473019,0.102650677750382,0.0291523736801331,1
aristotle,pa22dir4A,unit013a,pa22dir4A_unit013a,FEF,1.11742223948658,520,340,143.817793417713,0.0168805143016016,0.00878725881495476,0.0332005856424444,0.00769533115518175,0
aristotle,pa22dir4A,unit014a,pa22dir4A_unit014a,FEF,1.11705411017983,520,340,167.445165670243,0.0705438076941749,0.0360055185117861,0.131790604339897,0.0348603378942552,1
aristotle,pa22dir4A,unit015a,pa22dir4A_unit015a,FEF,1.07820980643335,340,520,330.319864891242,0.0480397831299685,0.0243239031572618,0.0916754953452202,0.025449118357116,1
aristotle,pa22dir4A,unit016a,pa22dir4A_unit016a,FEF,1.15147424707761,340,520,353.662569787454,0.0653292746775131,0.0306806384595942,0.109466986932596,0.0318245423274262,1
aristotle,pa22dir4A,unit017a,pa22dir4A_unit017a,FEF,1.06640458046296,430,610,36.0362586073828,0.147937878290245,0.0897316405384282,0.257745442655113,0.090361484022495,1
aristotle,pa22dir4A,unit018a,pa22dir4A_unit018a,FEF,1.13990517931488,430,610,111.279140632784,0.146658825259134,0.0972087752800982,0.255802025900757,0.0964691091957386,1
aristotle,pa22dir4A,unit019a,pa22dir4A_unit019a,FEF,1.15815699550473,430,610,104.250522144228,0.131027407298842,0.080282627111376,0.231696255021381,0.0796607064134584,1
aristotle,pa22dir4A,unit020a,pa22dir4A_unit020a,FEF,0.885219863143147,340,520,5.56962092651284,0.1503733713069,0.0516189891351967,0.158068842199374,0.0527361169588312,1
