Monkey,Session,UnitName,Sess_Unit,BrainArea,SNR,BestDir,NullDir,PrefDirFit,DepthMod,SelDir,DI,SI,signiffl
aristotle,pa29dir4A,unit001a,pa29dir4A_unit001a,FEF,1.22309274593254,145,325,163.568096737955,0.107060794347961,0.057452501587656,0.193414480748581,0.0553683136597324,1
aristotle,pa29dir4A,unit002a,pa29dir4A_unit002a,FEF,2.67272609886384,145,325,143.322216577058,0.271243398268988,0.139487275276598,0.426737159285675,0.136540770733538,1
aristotle,pa29dir4A,unit002b,pa29dir4A_unit002b,FEF,1.19378620730298,145,325,163.521778514555,0.130798880751819,0.0697042233888815,0.231338893198862,0.0676339956527933,1
aristotle,pa29dir4A,unit003c,pa29dir4A_unit003c,FEF,1.06976949151563,145,325,136.46365892051,0.0459566853619932,0.0195679744177896,0.0728064069458479,0.0163703495066837,1
aristotle,pa29dir4A,unit004a,pa29dir4A_unit004a,FEF,2.07365699864167,415,235,63.1913002144394,0.0249893404452768,0.00999280064310812,0.0382747755230985,0.00790435364557717,0
aristotle,pa29dir4A,unit004b,pa29dir4A_unit004b,FEF,1.10208355827861,145,325,120.148908105789,0.0504124550060027,0.0269941410545181,0.0920653387937453,0.0234369031893875,1
aristotle,pa29dir4A,unit005a,pa29dir4A_unit005a,FEF,1.09493939445748,325,145,286.948783608745,0.0189128647177248,0.00618901823533797,0.0191123298841582,0.00980279169072986,0
aristotle,pa29dir4A,unit006a,pa29dir4A_unit006a,FEF,2.24317386625168,145,325,77.5359583553438,0.122873606856763,0.0620137525136828,0.0876026397079473,0.0590420335191973,1
aristotle,pa29dir4A,unit006b,pa29dir4A_unit006b,FEF,1.12424906573309,415,235,118.166301898807,0.137698275694631,0.0738311968971119,0.121118292408701,0.0703643139270128,1
aristotle,pa29dir4A,unit007a,pa29dir4A_unit007a,FEF,1.26289594375706,145,325,142.409485510559,0.199788043401024,0.108287079838167,0.33303889716168,0.105110332079557,1
aristotle,pa29dir4A,unit008a,pa29dir4A_unit008a,FEF,1.32586818493511,325,145,34.1286107255627,0.123439119490647,0.0184669977203208,0.02367822922656,0.0182261596894572,1
aristotle,pa29dir4A,unit009a,pa29dir4A_unit009a,FEF,1.26524518883544,325,145,333.460986777763,0.201715647472775,0.10635244743392,0.335712775142749,0.109051000324059,1
aristotle,pa29dir4A,unit010a,pa29dir4A_unit010a,FEF,1.22776856188185,325,145,8.20555006967954,0.0821277739718454,0.0191638027777192,0.0515898252221495,0.0203777552706644,1
aristotle,pa29dir4A,unit011c,pa29dir4A_unit011c,FEF,1.06557916739681,145,325,159.76309468598,0.174717623324074,0.0917103329484413,0.297463185798948,0.0894365382595803,1
aristotle,pa29dir4A,unit012a,pa29dir4A_unit012a,FEF,1.34034252406962,145,325,178.681060005651,0.0757203627088983,0.0453971694394814,0.140780755545461,0.0442596590266572,1
aristotle,pa29dir4A,unit013a,pa29dir4A_unit013a,FEF,3.37363030826732,235,415,264.366902518439,0.141586120497739,0.0817420220418324,0.248051580087548,0.0849774476107724,1
aristotle,pa29dir4A,unit013b,pa29dir4A_unit013b,FEF,0.934719970014796,325,145,310.055951266876,0.152567390914576,0.0795708385283377,0.264743549257475,0.0829285291941949,1
aristotle,pa29dir4A,unit014a,pa29dir4A_unit014a,FEF,1.18056966182088,235,415,269.932657665614,0.0894054435821841,0.0540817106509597,0.164136215967861,0.0574714498769541,1
aristotle,pa29dir4A,unit015a,pa29dir4A_unit015a,FEF,1.33598522634288,325,145,308.727265478389,0.0763253319597181,0.0402610317130163,0.141825765302297,0.04369608071525,1
aristotle,pa29dir4A,unit016b,pa29dir4A_unit016b,FEF,3.87482857494522,235,415,221.156156782401,0.0823213842755733,0.0424754852951221,0.15212003656506,0.0439361235535667,1
aristotle,pa29dir4A,unit016c,pa29dir4A_unit016c,FEF,2.73071841011389,415,235,30.8259554144092,0.0925844598524861,0.047547191193818,0.155099330243908,0.0468696395658537,1
aristotle,pa29dir4A,unit016d,pa29dir4A_unit016d,FEF,2.58054588989107,415,235,346.279573707454,0.0903065532036181,0.0367545467125198,0.0499815213651251,0.0387001454436183,1
aristotle,pa29dir4A,unit016e,pa29dir4A_unit016e,FEF,0.950699215024512,325,145,274.534520625942,0.0400130533486544,0.0256321796273301,0.0629704118876718,0.0291268341207324,1
aristotle,pa29dir4A,unit017a,pa29dir4A_unit017a,FEF,5.70095758934744,145,325,122.286917223388,0.176629123020686,0.095208648291697,0.300229051899101,0.0917688359186235,1
aristotle,pa29dir4A,unit017b,pa29dir4A_unit017b,FEF,3.53086104561234,415,235,342.575611585613,0.11745191211712,0.0477916327243187,0.0533178418552952,0.0498478039237272,1
aristotle,pa29dir4A,unit017c,pa29dir4A_unit017c,FEF,2.55927383557199,325,145,279.676091794855,0.173282121327267,0.113119240450553,0.271395629542817,0.116587794958272,1
aristotle,pa29dir4A,unit017d,pa29dir4A_unit017d,FEF,1.24190651965949,325,145,291.090445032762,0.0105081942716997,0.00633979070633985,0.0207978407919259,0.00994548045194149,0
aristotle,pa29dir4A,unit017e,pa29dir4A_unit017e,FEF,0.631912819022877,145,325,120.324219870031,0.160663485075128,0.0876158346918,0.276847660223805,0.0841462529818393,1
aristotle,pa29dir4A,unit018a,pa29dir4A_unit018a,FEF,1.4085553267839,145,325,93.7660059109812,0.055184020941716,0.034749694774787,0.0829237505538841,0.0313010219955594,1
aristotle,pa29dir4A,unit019a,pa29dir4A_unit019a,FEF,1.38108745462797,415,235,79.0160956772291,0.0709745835062992,0.0393105923844532,0.132542050202411,0.0362467403088385,1
