Monkey,Session,UnitName,Sess_Unit,BrainArea,SNR,BestDir,NullDir,PrefDirFit,DepthMod,SelDir,DI,SI,signiffl
aristotle,pa32dir4A,unit001a,pa32dir4A_unit001a,FEF,1.00318537768285,0,180,338.502546657303,0.233424129981731,0.0813715916513162,0.234757377870242,0.0818649618212849,1
aristotle,pa32dir4A,unit002a,pa32dir4A_unit002a,FEF,1.06718195992258,0,180,281.786446007141,0.191694105135286,0.068689454923327,0.0497421598850817,0.0674926828900706,1
aristotle,pa32dir4A,unit003a,pa32dir4A_unit003a,FEF,0.986607180710946,180,0,142.582680450227,0.0826955042080298,0.0106064234059679,0.0310606604880619,0.0108362100933583,1
aristotle,pa32dir4A,unit004b,pa32dir4A_unit004b,FEF,0.953395879013904,180,0,157.570543267251,0.117534987493903,0.0644029592038821,0.21034685948845,0.0645349385810766,1
aristotle,pa32dir4A,unit005a,pa32dir4A_unit005a,FEF,1.72533141166701,180,0,139.946932551525,0.0824294947413116,0.053948882356299,0.152304598390515,0.0542916132886806,1
aristotle,pa32dir4A,unit005b,pa32dir4A_unit005b,FEF,0.765619024566117,180,0,158.550772249854,0.119917530929677,0.0639639229184723,0.214154216927259,0.0641066228402235,1
aristotle,pa32dir4A,unit006a,pa32dir4A_unit006a,FEF,2.4807847580425,180,0,219.472442234744,0.0973312142499575,0.0371961499829877,0.104136602002599,0.0361005274766822,1
aristotle,pa32dir4A,unit006b,pa32dir4A_unit006b,FEF,1.12362840580654,270,90,287.515358190901,0.140176937950931,0.0749606149509296,0.24588628884715,0.0737519198049474,1
aristotle,pa32dir4A,unit006c,pa32dir4A_unit006c,FEF,0.746625133318316,180,0,234.507553273304,0.104312205734877,0.0591307941597658,0.126094517497025,0.0578124003137638,1
aristotle,pa32dir4A,unit007a,pa32dir4A_unit007a,FEF,1.09620027239223,90,270,120.412155519148,0.0805773354242007,0.0158583849469676,0.0503418023469895,0.0166101245824859,1
aristotle,pa32dir4A,unit008a,pa32dir4A_unit008a,FEF,1.07961688343905,180,0,178.893676732654,0.0630544596803844,0.0313622870621104,0.118628841836273,0.0310074911122646,1
aristotle,pa32dir4A,unit009a,pa32dir4A_unit009a,FEF,1.25867293148458,0,180,359.616869298656,0.037626567888338,0.00780065927062671,0.0298392857142858,0.008478904069809,1
aristotle,pa32dir4A,unit010a,pa32dir4A_unit010a,FEF,1.04970768803166,90,270,77.8866222630499,0.0849201841480509,0.0443376286703621,0.156546417679077,0.0453689088566638,1
aristotle,pa32dir4A,unit011a,pa32dir4A_unit011a,FEF,1.0499197223129,90,270,84.2669417072572,0.115025186116371,0.0599588852844453,0.206318543381075,0.060877734786221,1
aristotle,pa32dir4A,unit012a,pa32dir4A_unit012a,FEF,0.944624562011986,90,270,92.8506597176037,0.156195524811466,0.0656559742158802,0.213557169710055,0.0665543077433591,1
aristotle,pa32dir4A,unit013a,pa32dir4A_unit013a,FEF,1.95308679299494,90,270,72.0894802418512,0.148003578862459,0.0793783967593259,0.257845152380299,0.0803043868469768,1
aristotle,pa32dir4A,unit013b,pa32dir4A_unit013b,FEF,1.01178602738924,90,270,88.6222132854403,0.0923496924814861,0.0392826965939429,0.138496867281968,0.0402910168496187,1
aristotle,pa32dir4A,unit014a,pa32dir4A_unit014a,FEF,1.04669127853915,270,90,254.966582693727,0.0683878038340446,0.0313918752852726,0.11104497512841,0.0300054449043676,1
aristotle,pa32dir4A,unit015a,pa32dir4A_unit015a,FEF,0.909126256570089,180,0,157.602630643737,0.056262413670965,0.0305015702821035,0.106531128898981,0.0305383695566146,1
aristotle,pa32dir4A,unit016a,pa32dir4A_unit016a,FEF,1.05505304517639,180,0,187.769014759874,0.133353751089601,0.0675038884884799,0.235325909428359,0.0671387325655596,1
aristotle,pa32dir4A,unit017a,pa32dir4A_unit017a,FEF,1.10413832051859,180,0,186.008670247165,0.0561695972649373,0.0278997471534284,0.106364730456916,0.0273929548920553,1
aristotle,pa32dir4A,unit018a,pa32dir4A_unit018a,FEF,1.10562217620177,90,270,129.325671167158,0.0255143683491758,0.0077949847923321,0.0234937509729898,0.00839090868285861,0
aristotle,pa32dir4A,unit019b,pa32dir4A_unit019b,FEF,0.961328320187765,180,0,154.268071905021,0.0288766741503445,0.00780774312992025,0.0272450742718989,0.007887896078355,0
aristotle,pa32dir4A,unit020a,pa32dir4A_unit020a,FEF,0.805475324854987,270,90,261.529452478297,0.0603588044651679,0.0301831441382703,0.113846000450031,0.0288605372243745,1
aristotle,pa32dir4A,unit021a,pa32dir4A_unit021a,FEF,0.921281405927768,270,90,310.809784297125,0.0834404857739199,0.0549919471337686,0.154028738762364,0.0544934749955993,1
aristotle,pa32dir4A,unit022a,pa32dir4A_unit022a,FEF,1.12897721210399,180,0,218.422535898688,0.0439026706131786,0.0213382386122114,0.0638367417525127,0.0202400864258338,1
aristotle,pa32dir4A,unit023b,pa32dir4A_unit023b,FEF,2.28734114901552,0,180,307.115402661477,0.0969410323180908,0.0329494889507157,0.0729678926013765,0.0324286057975376,1
aristotle,pa32dir4A,unit023d,pa32dir4A_unit023d,FEF,1.0359948671289,180,0,177.029089767107,0.0807963652748208,0.0419159550410935,0.149512651727463,0.0416107699775182,1
aristotle,pa32dir4A,unit024a,pa32dir4A_unit024a,FEF,2.55683179958779,0,180,353.461184491263,0.273900252894524,0.149941570785444,0.430018366464996,0.151085930060043,1
aristotle,pa32dir4A,unit024b,pa32dir4A_unit024b,FEF,1.04322797062012,180,0,161.872902313814,0.120236124966952,0.0152892248245365,0.0513811742888406,0.0151101638011007,1
aristotle,pa32dir4A,unit033a,pa32dir4A_unit033a,MT,1.05459096752586,270,90,276.126876575068,0.0742436005776124,0.0367769211195553,0.138224887795826,0.0355664254523269,1
aristotle,pa32dir4A,unit034a,pa32dir4A_unit034a,MT,0.953652652842465,270,90,317.172875604829,0.0512191686655049,0.0306498545975048,0.0794114864035079,0.0303339578737708,1
aristotle,pa32dir4A,unit035a,pa32dir4A_unit035a,MT,1.07134773250482,0,180,309.929299878764,0.10336792036017,0.0535865927940751,0.125528557672152,0.053086738931955,1
aristotle,pa32dir4A,unit036a,pa32dir4A_unit036a,MT,1.10248135676867,0,180,294.322006433264,0.0851377221015059,0.0441927292026049,0.0686075606200669,0.0432988977919168,1
